feature,mean,std,count,cv
financials_2027_ytd_2592962_lag_1_roll_std_63,3.795597e-05,5.367785e-05,2,1.4142135
financials_2027_ytd_2592962_lag_21,0.0,0.0,2,
financials_2027_ytd_2592962_lag_21_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2592962_lag_21_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2592962_lag_21_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2592962_lag_21_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2592962_lag_21_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2592962_lag_21_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2592962_lag_5,0.0,0.0,2,
financials_2027_ytd_2592962_lag_5_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2592962_lag_5_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2592962_lag_5_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2592962_lag_5_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2592962_lag_5_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2592962_lag_5_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2592962_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2592962_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2592962_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2592962_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2592962_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2592962_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2597012,0.0,0.0,2,
financials_2027_ytd_2597012_lag_1,0.0,0.0,2,
financials_2027_ytd_2597012_lag_1_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2597012_lag_1_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2597012_lag_1_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2597012_lag_1_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2597012_lag_1_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2597012_lag_1_roll_std_63,0.0008519265,1.7153438e-05,2,0.02013488
financials_2027_ytd_2597012_lag_21,0.0,0.0,2,
financials_2027_ytd_2597012_lag_21_roll_mean_21,0.0,0.0,2,
financials_2027_ytd_2597012_lag_21_roll_mean_5,0.0,0.0,2,
financials_2027_ytd_2597012_lag_21_roll_mean_63,0.0,0.0,2,
financials_2027_ytd_2597012_lag_21_roll_std_21,0.0,0.0,2,
financials_2027_ytd_2597012_lag_21_roll_std_5,0.0,0.0,2,
financials_2027_ytd_2597012_lag_21_roll_std_63,0.0,0.0,2,
financials_2027_ytd_2597012_lag_5,0.0,0.0,2,
financials_2027_ytd_2597012_lag_5_roll_mean_21,0.0,0.0,2,
