feature,importance,date
ret_21d_2628485_lag_5_roll_std_21,0.0011998888,2018-03-05
ret_21d_268423068_lag_21,0.0011992422,2018-03-05
financials_2027_ytd_2597012_lag_5_roll_std_63,0.0011498705,2018-03-05
ret_21d_214814966_roll_mean_21,0.0011474027,2018-03-05
ret_21d_53844859_lag_21,0.0011438088,2018-03-05
ret_21d_2614202_lag_21_roll_mean_5,0.0011431751,2018-03-05
financials_2027_ytd_2635408_roll_std_5,0.0011353003,2018-03-05
ret_21d_311938938_lag_5,0.0011297533,2018-03-05
ret_21d_2619516,0.0011241613,2018-03-05
ret_21d_2666022,0.0011015607,2018-03-05
financials_4379_ytd_10621103_lag_5_roll_mean_63,0.0010829206,2018-03-05
ret_21d_266486655_lag_5_roll_mean_21,0.0010796679,2018-03-05
ret_21d_48945042_lag_21,0.0010696113,2018-03-05
ret_21d_27059648,0.0010622469,2018-03-05
ret_21d_23133968,0.0010525747,2018-03-05
ret_21d_115907529_lag_1_roll_std_63,0.0010513851,2018-03-05
ret_21d_2587347_lag_21_roll_mean_63,0.0010474643,2018-03-05
ret_21d_24011574_lag_21_roll_mean_5,0.0010402971,2018-03-05
ret_21d_266255451,0.0010389299,2018-03-05
ret_21d_126940574_lag_5_roll_mean_21,0.0010312278,2018-03-05
ret_21d_25082106_lag_5_roll_mean_21,0.0010265593,2018-03-05
financials_4430_ytd_2587303_lag_5_roll_std_21,0.0010189676,2018-03-05
ret_21d_2605291_lag_1_roll_std_21,0.001018439,2018-03-05
ret_21d_2592050_lag_21_roll_mean_21,0.0010146957,2018-03-05
ret_21d_13223797_lag_21_roll_mean_21,0.001000594,2018-03-05
ret_21d_2643269_lag_5_roll_std_63,0.0009993588,2018-03-05
ret_21d_30252204_roll_mean_5,0.0009935946,2018-03-05
ret_21d_700123271_lag_5_roll_std_21,0.0009888574,2018-03-05
ret_21d_23428253_lag_21_roll_std_21,0.0009844399,2018-03-05
ret_21d_2623174_lag_1_roll_std_21,0.0009821495,2018-03-05
ret_21d_301683782_lag_5_roll_mean_5,0.000980249,2018-03-05
ret_21d_49677276_lag_5_roll_std_21,0.00096109835,2018-03-05
ret_21d_2620284_lag_1_roll_mean_5,0.0009574137,2018-03-05
ret_21d_2626322_roll_std_21,0.0009502758,2018-03-05
ret_21d_20518077_roll_std_21,0.00094299845,2018-03-05
ret_21d_8214712_lag_5_roll_mean_21,0.0009305616,2018-03-05
ret_21d_2642773_lag_1_roll_mean_5,0.000926549,2018-03-05
ret_21d_2649276_roll_std_63,0.000924233,2018-03-05
ret_21d_303189491_lag_5_roll_mean_21,0.0009204724,2018-03-05
ret_21d_275419724_lag_5_roll_mean_63,0.00091732136,2018-03-05
ret_21d_61531759_lag_21_roll_std_63,0.0009163766,2018-03-05
ret_21d_2587347_lag_1,0.00091108575,2018-03-05
ret_21d_344570879_roll_mean_5,0.0009087436,2018-03-05
ret_21d_304529748,0.00090486096,2018-03-05
ret_21d_2625923_lag_1_roll_mean_5,0.0008998492,2018-03-05
ret_21d_47440465_lag_1_roll_std_63,0.00089148135,2018-03-05
ret_21d_106522000_lag_1_roll_mean_5,0.00087593973,2018-03-05
financials_4384_ytd_2624586_lag_5_roll_std_63,0.0008743349,2018-03-05
ret_21d_2607409_lag_21_roll_mean_5,0.00087278284,2018-03-05
ret_21d_2662349_roll_std_21,0.00087146275,2018-03-05
ret_21d_2639565,0.00086077506,2018-03-05
ret_21d_2589447,0.00085705274,2018-03-05
ret_21d_23999834_lag_5_roll_mean_5,0.0008553561,2018-03-05
ret_21d_20518077,0.0008536903,2018-03-05
ret_21d_2635835_lag_5_roll_std_5,0.0008428442,2018-03-05
financials_2027_ytd_2597012_lag_1_roll_std_63,0.0008397972,2018-03-05
ret_21d_253262879_roll_mean_21,0.0008370098,2018-03-05
ret_21d_2590110_roll_mean_63,0.0008361,2018-03-05
ret_21d_70011082_lag_1_roll_mean_21,0.00083343626,2018-03-05
financials_4384_ytd_99930372_lag_1_roll_std_63,0.00082494586,2018-03-05
ret_21d_98123022_lag_21_roll_std_21,0.00081988145,2018-03-05
ret_21d_39767366_lag_21,0.00081465533,2018-03-05
ret_21d_82738090_lag_1_roll_std_21,0.0008127673,2018-03-05
ret_21d_275317449_lag_21_roll_mean_63,0.0008114924,2018-03-05
volume_rolling_mskew_masked_var_covar_volume_90_2_v2_34810407_lag_21_roll_mean_21,0.0008039716,2018-03-05
ret_21d_141443953_roll_mean_21,0.0008026788,2018-03-05
ret_21d_266067391_lag_21_roll_mean_63,0.00079410314,2018-03-05
financials_4430_ytd_2608411_lag_1_roll_mean_21,0.0007868442,2018-03-05
ret_21d_307533788_lag_1_roll_mean_5,0.00077868084,2018-03-05
ret_21d_2662349_lag_1_roll_std_63,0.00077753654,2018-03-05
ret_21d_2649625_lag_5_roll_std_21,0.00077580404,2018-03-05
ret_21d_49064259_roll_mean_5,0.0007731927,2018-03-05
ret_21d_2643269_lag_21_roll_mean_5,0.0007510545,2018-03-05
ret_21d_2626848,0.0007488232,2018-03-05
ret_21d_2636258_lag_21,0.0007435639,2018-03-05
ret_21d_141055809_lag_5_roll_std_5,0.0007430483,2018-03-05
ret_21d_267390766_lag_21_roll_mean_5,0.00074025197,2018-03-05
ret_21d_639182521_lag_5_roll_std_5,0.0007372293,2018-03-05
ret_21d_307533788_roll_mean_5,0.0007367957,2018-03-05
ret_21d_20518077_lag_5,0.0007351177,2018-03-05
ret_21d_264174986_lag_5,0.0007317876,2018-03-05
ret_21d_2666883_roll_std_5,0.000725309,2018-03-05
ret_21d_2637988_roll_mean_5,0.0007251954,2018-03-05
ret_21d_261188366_roll_mean_5,0.0007212199,2018-03-05
ret_21d_108803915_lag_21_roll_std_21,0.0007210275,2018-03-05
ret_21d_677853450_roll_std_21,0.0007184793,2018-03-05
ret_21d_11250702_lag_5_roll_std_21,0.0007123355,2018-03-05
ret_21d_6163075_lag_5_roll_mean_21,0.0007112663,2018-03-05
ret_21d_141499733_lag_1_roll_std_21,0.0007030052,2018-03-05
ret_21d_270404072_lag_5,0.00070251076,2018-03-05
ret_21d_216959685_lag_1_roll_std_21,0.0007008964,2018-03-05
ret_21d_37284173_lag_21_roll_mean_5,0.00069863116,2018-03-05
ret_21d_61531759_roll_mean_21,0.0006945299,2018-03-05
ret_21d_10062389_lag_1_roll_mean_63,0.0006930773,2018-03-05
ret_21d_2656701_lag_5_roll_std_21,0.0006795636,2018-03-05
ret_21d_48925233_lag_21_roll_mean_21,0.00066951686,2018-03-05
ret_21d_270906752,0.0006629393,2018-03-05
ret_21d_3602466_lag_21,0.0006598792,2018-03-05
ret_21d_581064882_roll_mean_63,0.000655157,2018-03-05
ret_21d_618650356_lag_21_roll_std_5,0.0006527319,2018-03-05
financials_4384_ytd_2601505_lag_1_roll_std_21,0.00064870995,2018-03-05
ret_21d_2657953_lag_5,0.00064606353,2018-03-05
ret_21d_2639089_lag_21_roll_mean_21,0.0006401705,2018-03-05
ret_21d_2661302_lag_1_roll_mean_5,0.00063887506,2018-03-05
ret_21d_34969512,0.0006364339,2018-03-05
ret_21d_61528891_lag_21_roll_mean_21,0.0006273038,2018-03-05
ret_21d_301683782_lag_1_roll_mean_5,0.0006272979,2018-03-05
ret_21d_2637684_lag_21_roll_std_21,0.00062357675,2018-03-05
ret_21d_2626322_roll_mean_5,0.000620805,2018-03-05
ret_21d_2661192_lag_1_roll_std_5,0.0006192312,2018-03-05
ret_21d_109766319_lag_21_roll_mean_5,0.0006164725,2018-03-05
ret_21d_266067391_lag_1_roll_std_63,0.0006066867,2018-03-05
ret_21d_61531759_lag_1_roll_mean_63,0.00060142425,2018-03-05
ret_21d_44742885_lag_5_roll_std_21,0.00059814285,2018-03-05
ret_21d_23459254_lag_5_roll_std_21,0.0005973629,2018-03-05
ret_21d_2627721_lag_1_roll_std_63,0.0005957164,2018-03-05
ret_21d_45495108_lag_1_roll_std_5,0.00059393933,2018-03-05
ret_21d_2657437_lag_21_roll_std_63,0.00059152965,2018-03-05
ret_21d_34058542_lag_5_roll_std_5,0.0005910001,2018-03-05
ret_21d_2637964_lag_5,0.0005895326,2018-03-05
ret_21d_272020044_lag_21_roll_std_5,0.0005809616,2018-03-05
ret_21d_2604830_lag_1_roll_std_5,0.00057919376,2018-03-05
ret_21d_344570879_lag_21,0.0005744846,2018-03-05
ret_21d_102371354_lag_21_roll_mean_5,0.00057275186,2018-03-05
ret_21d_260217790_lag_21_roll_std_21,0.0005689864,2018-03-05
financials_4430_ytd_110010798_lag_5_roll_std_63,0.00056849944,2018-03-05
ret_21d_1776948460_lag_5_roll_mean_63,0.00056781626,2018-03-05
ret_21d_59560283_lag_1_roll_std_21,0.0005654092,2018-03-05
ret_21d_183758211_lag_21_roll_mean_5,0.0005593022,2018-03-05
illiqmasked_amp_wavg_illiq_50_2_v2_2595573_lag_5,0.0005587456,2018-03-05
ret_21d_23604640_lag_5_roll_std_21,0.0005581595,2018-03-05
ret_21d_133366442_lag_1_roll_mean_21,0.0005574114,2018-03-05
ret_21d_34969516_lag_5,0.0005562991,2018-03-05
financials_4430_ytd_2608411_roll_std_21,0.00055067294,2018-03-05
ret_21d_2595561_lag_5_roll_std_5,0.0005460433,2018-03-05
ret_21d_2627781_lag_21_roll_std_21,0.0005450081,2018-03-05
ret_21d_2657953_lag_1_roll_mean_5,0.0005422103,2018-03-05
ret_21d_2655868_roll_mean_5,0.00053981895,2018-03-05
ret_21d_2621015,0.00053733314,2018-03-05
ret_21d_37284173_lag_5_roll_std_5,0.0005357413,2018-03-05
ret_21d_28674540_lag_1_roll_std_21,0.0005348562,2018-03-05
ret_21d_2659212,0.00053318363,2018-03-05
financials_3524_ytd_430994973_roll_std_63,0.0005308579,2018-03-05
ret_21d_10848661,0.00053026865,2018-03-05
ret_21d_34827088,0.0005300972,2018-03-05
ret_21d_24011574_lag_21,0.00052739814,2018-03-05
ret_21d_2661302_lag_1_roll_std_21,0.00052735006,2018-03-05
ret_21d_2605795_lag_5_roll_mean_5,0.00052529376,2018-03-05
ret_21d_2631170_lag_21_roll_mean_5,0.0005250101,2018-03-05
ret_21d_2650162,0.00051731395,2018-03-05
ret_21d_2601505_roll_std_63,0.00051520445,2018-03-05
ret_21d_47441482_lag_1,0.00050860277,2018-03-05
ret_21d_2638965_lag_21_roll_std_21,0.0005042224,2018-03-05
ret_21d_2587004_lag_5_roll_std_21,0.0005016185,2018-03-05
ret_21d_44742885_lag_1,0.0005015719,2018-03-05
ret_21d_60717089,0.00050090754,2018-03-05
financials_4197_ytd_2649625_lag_21_roll_std_63,0.0004966252,2018-03-05
ret_21d_2636258,0.00049630244,2018-03-05
ret_21d_303189491_lag_21_roll_std_5,0.00048967707,2018-03-05
ret_21d_2587209_roll_mean_5,0.00048661043,2018-03-05
ret_21d_2662415_lag_1_roll_std_21,0.00048383803,2018-03-05
volume_rolling_mskew_masked_var_covar_volume_90_2_v2_34810407_roll_mean_5,0.0004830316,2018-03-05
ret_21d_30609001_lag_21_roll_mean_5,0.0004814268,2018-03-05
ret_21d_11250702_lag_5,0.00048020133,2018-03-05
ret_21d_2624252,0.00048003485,2018-03-05
ret_21d_249956494_roll_std_5,0.00047861473,2018-03-05
ret_21d_2662357_lag_5_roll_mean_21,0.00047526913,2018-03-05
ret_21d_268941317_lag_21_roll_mean_63,0.00047238,2018-03-05
ret_21d_2656701_lag_1_roll_std_21,0.00046962182,2018-03-05
ret_21d_639182521_lag_1_roll_std_5,0.0004690783,2018-03-05
ret_21d_2588077_lag_5_roll_std_21,0.00046819635,2018-03-05
ret_21d_276762464_roll_mean_5,0.00046794102,2018-03-05
ret_21d_2663172_lag_1_roll_std_5,0.00046669718,2018-03-05
ret_21d_2654656_lag_1_roll_mean_21,0.00046330923,2018-03-05
ret_21d_2614747_lag_1_roll_std_5,0.0004588655,2018-03-05
ret_21d_207426776_lag_21_roll_std_21,0.00045632833,2018-03-05
ret_21d_670990664,0.00045357275,2018-03-05
ret_21d_2657174_lag_21_roll_mean_63,0.00044780548,2018-03-05
ret_21d_2618261_lag_1_roll_mean_21,0.00044473063,2018-03-05
ret_21d_2630179,0.00044315052,2018-03-05
ret_21d_2633833_lag_5_roll_std_21,0.00044243637,2018-03-05
ret_21d_405156965_lag_5_roll_std_5,0.0004397385,2018-03-05
ret_21d_2620172_lag_5_roll_mean_63,0.00043918504,2018-03-05
ret_21d_1892183070_lag_5,0.0004379413,2018-03-05
ret_21d_37117966,0.0004354477,2018-03-05
ret_21d_34028921_roll_mean_5,0.00043488832,2018-03-05
ret_21d_28942786_lag_21_roll_mean_5,0.0004335166,2018-03-05
ret_21d_2604830_lag_1_roll_mean_5,0.00043228743,2018-03-05
ret_21d_2603461_lag_5_roll_std_5,0.00043033424,2018-03-05
ret_21d_10848661_lag_1_roll_std_21,0.0004299839,2018-03-05
ret_21d_2621125_roll_std_21,0.0004291785,2018-03-05
ret_21d_2636258_lag_5,0.00042874314,2018-03-05
ret_21d_289284110_lag_1,0.00042858507,2018-03-05
ret_21d_286464085_lag_21_roll_std_5,0.00042857727,2018-03-05
ret_21d_2650430_lag_21_roll_std_21,0.0004272111,2018-03-05
ret_21d_2649276_lag_1_roll_std_63,0.00042659935,2018-03-05
ret_21d_23428253_lag_21_roll_std_5,0.00042630426,2018-03-05
ret_21d_313185297,0.0004262585,2018-03-05
ret_21d_267883823_lag_21_roll_mean_63,0.00042358128,2018-03-05
ret_21d_222424119_roll_mean_21,0.00041984912,2018-03-05
financials_4430_ytd_2631896_lag_5_roll_std_21,0.000418184,2018-03-05
ret_21d_2635727_lag_21,0.00041786986,2018-03-05
ret_21d_401943588_lag_1_roll_std_5,0.00041781706,2018-03-05
ret_21d_3602466_lag_21_roll_mean_21,0.00041681976,2018-03-05
ret_21d_208726884_lag_5_roll_mean_5,0.00041312535,2018-03-05
ret_21d_2597240_lag_1,0.0004097036,2018-03-05
ret_21d_2622900_lag_21_roll_std_21,0.00040903233,2018-03-05
ret_21d_141443953_roll_std_63,0.0004084282,2018-03-05
ret_21d_134356084_roll_std_63,0.00040797636,2018-03-05
ret_21d_256385652_lag_5_roll_mean_21,0.00040293756,2018-03-05
ret_21d_2630179_lag_1_roll_std_21,0.00040250563,2018-03-05
ret_21d_134356084_lag_1_roll_std_63,0.00040176164,2018-03-05
ret_21d_2657487_lag_1_roll_mean_5,0.00039898488,2018-03-05
financials_4430_ytd_2586533_lag_1_roll_std_21,0.00039829218,2018-03-05
ret_21d_61517385_roll_std_5,0.00039761874,2018-03-05
ret_21d_34969516_lag_5_roll_std_21,0.00039670456,2018-03-05
ret_21d_2660893_lag_5,0.00039584178,2018-03-05
ret_21d_59560283,0.00039282272,2018-03-05
ret_21d_308117390_lag_5_roll_std_5,0.00038968804,2018-03-05
ret_21d_272698016_lag_21,0.000384172,2018-03-05
ret_21d_34028921_lag_21,0.00038214293,2018-03-05
volume_rolling_mskew_masked_var_covar_volume_90_2_v2_34810407_lag_21_roll_std_5,0.00037948653,2018-03-05
ret_21d_2591273_lag_21_roll_mean_63,0.000379127,2018-03-05
ret_21d_23459254_lag_1_roll_std_21,0.00037783096,2018-03-05
ret_21d_2621125_lag_1_roll_std_21,0.00037573755,2018-03-05
ret_21d_2637684_lag_5_roll_std_21,0.00037553665,2018-03-05
