date,portfolio_value
2020-12-24,1509280.7034445573
2020-12-28,1512692.5691658845
2020-12-29,1516016.0075356108
2020-12-30,1519306.000052722
2020-12-31,1522744.2826575043
2021-01-04,1526311.9683180468
2021-01-05,1530240.1385287503
2021-01-06,1534251.6884593253
2021-01-07,1538201.0722276883
2021-01-08,1542464.6139956194
2021-01-11,1546594.224284461
2021-01-12,1550423.7091973012
2021-01-13,1554278.5236617946
2021-01-14,1557950.1158587008
2021-01-15,1560940.1181930972
2021-01-19,1563535.0382743368
2021-01-20,1565827.571034025
2021-01-21,1567760.0786516014
2021-01-22,1569528.3064341971
2021-01-25,1571204.6645127821
2021-01-26,1572875.19611251
2021-01-27,1574398.7649796593
2021-01-28,1575812.850225333
2021-01-29,1576889.8018119815
2021-02-01,1577543.7203065709
2021-02-02,1577481.2394520515
2021-02-03,1577017.3309427833
2021-02-04,1575966.5843452502
2021-02-05,1574603.0724857154
2021-02-08,1572883.5778732458
2021-02-09,1570849.5149919696
2021-02-10,1568525.7245954764
2021-02-11,1566104.980312132
2021-02-12,1563472.6790477203
2021-02-16,1561016.5087581184
2021-02-17,1558926.1355025705
2021-02-18,1557059.691984706
2021-02-19,1555140.62242269
2021-02-22,1553823.9298788118
2021-02-23,1551725.3048231716
2021-02-24,1549385.9153155247
2021-02-25,1546876.8466130963
2021-02-26,1544602.613306255
2021-03-01,1543578.6510185585
2021-03-02,1542449.2882834782
2021-03-03,1540242.4077349808
2021-03-04,1538361.1549930007
2021-03-05,1539551.5749591324
2021-03-08,1540634.6623532618
2021-03-09,1541764.6982041693
2021-03-10,1542924.9563460234
2021-03-11,1544285.148315736
2021-03-12,1544285.148315736
2021-03-15,1544285.148315736
2021-03-16,1543516.2895449437
2021-03-17,1541841.6633614937
2021-03-18,1540150.9098756036
2021-03-19,1538493.959254622
2021-03-22,1537148.4647235444
2021-03-23,1535941.2176754663
2021-03-24,1535051.0109191407
2021-03-25,1534274.8485066937
2021-03-26,1533552.433041641
2021-03-29,1532734.4019867373
2021-03-30,1531643.5713003823
2021-03-31,1530121.3315255973
2021-04-01,1528342.4696909967
2021-04-05,1526325.1640545095
2021-04-06,1523884.6408629376
2021-04-07,1521311.9535497024
2021-04-08,1518822.0618697007
2021-04-09,1516396.1012446792
2021-04-12,1514151.065042524
2021-04-13,1512135.1199359924
2021-04-14,1510358.7844683893
2021-04-15,1508698.3713174202
2021-04-16,1507285.6447102388
2021-04-19,1505979.6610969466
2021-04-20,1504911.7927640234
2021-04-21,1503903.764955592
2021-04-22,1502817.806050481
2021-04-23,1501568.6176942643
2021-04-26,1500365.245761719
2021-04-27,1499175.0407224626
2021-04-28,1497976.4125158514
2021-04-29,1496947.2965356202
2021-04-30,1496276.956492008
2021-05-03,1495594.546425222
2021-05-04,1495045.689305856
2021-05-05,1494803.2773023592
2021-05-06,1494728.9542972345
2021-05-07,1494501.7506363043
2021-05-10,1494492.1916633456
2021-05-11,1494397.4155560734
2021-05-12,1494195.0827269647
2021-05-13,1493671.9175051302
2021-05-14,1492879.4134175393
2021-05-17,1492879.4134175393
2021-05-18,1492879.4134175393
2021-05-19,1492879.4134175393
2021-05-20,1490818.0167668879
2021-05-21,1488709.7945327936
2021-05-24,1486575.4587548869
2021-05-25,1484332.4944579992
2021-05-26,1482059.7074318964
2021-05-27,1482059.7074318964
2021-05-28,1482059.7074318964
2021-06-01,1482059.7074318964
2021-06-02,1482059.7074318964
2021-06-03,1482059.7074318964
2021-06-04,1482059.7074318964
2021-06-07,1482717.372448157
2021-06-08,1482717.372448157
2021-06-09,1482717.372448157
2021-06-10,1483423.451236009
2021-06-11,1483423.451236009
2021-06-14,1482320.0434065906
2021-06-15,1481118.565639369
2021-06-16,1479832.678311015
2021-06-17,1478583.8498746098
2021-06-18,1477632.9583878038
2021-06-21,1476870.7953185337
2021-06-22,1476155.7211445586
2021-06-23,1475636.2687872434
2021-06-24,1475636.2687872434
2021-06-25,1475636.2687872434
2021-06-28,1474952.3856207768
2021-06-29,1474295.7886080707
2021-06-30,1473656.478434633
2021-07-01,1473102.0308726346
2021-07-02,1472605.0039863293
2021-07-06,1472605.0039863293
2021-07-07,1472578.460305311
2021-07-08,1472578.460305311
2021-07-09,1472578.460305311
2021-07-12,1472578.460305311
2021-07-13,1474992.2841107757
2021-07-14,1477863.6049050482
2021-07-15,1481003.9487769045
2021-07-16,1484394.7996968098
2021-07-19,1487712.2742954025
2021-07-20,1487712.2742954025
2021-07-21,1487712.2742954025
2021-07-22,1490885.2522320715
2021-07-23,1494085.3680758346
2021-07-26,1497476.489014177
2021-07-27,1501183.1844754978
2021-07-28,1504829.5364594779
2021-07-29,1508341.1405108222
2021-07-30,1511673.5572416654
2021-08-02,1514734.828109596
2021-08-03,1517516.264064544
2021-08-04,1520203.4806821425
2021-08-05,1522405.920996011
2021-08-06,1523731.5119478842
2021-08-09,1524133.5519154598
2021-08-10,1523585.603041006
2021-08-11,1522208.7462396715
2021-08-12,1520322.9928394468
2021-08-13,1518444.5739770224
2021-08-16,1516648.2528784054
2021-08-17,1515080.5065051538
2021-08-18,1513692.61125704
2021-08-19,1512388.98366247
2021-08-20,1511065.3707569935
2021-08-23,1509745.129731178
2021-08-24,1508596.1651243912
2021-08-25,1507468.022925695
2021-08-26,1506560.9623698005
2021-08-27,1505692.630286851
2021-08-30,1504875.0696427568
2021-08-31,1503886.4624144617
2021-09-01,1502893.8980290014
2021-09-02,1503624.670727754
2021-09-03,1504076.7428295133
2021-09-07,1504076.7428295133
2021-09-08,1503316.9212929418
2021-09-09,1503316.9212929418
2021-09-10,1503316.9212929418
2021-09-13,1503316.9212929418
2021-09-14,1503316.9212929418
2021-09-15,1504570.366539008
2021-09-16,1505832.6784077778
2021-09-17,1507411.580547224
2021-09-20,1507411.580547224
2021-09-21,1507411.580547224
2021-09-22,1507411.580547224
2021-09-23,1509224.4841075137
2021-09-24,1510796.4164698222
2021-09-27,1512140.4554106926
2021-09-28,1512140.4554106926
2021-09-29,1513444.2303685546
2021-09-30,1515089.3488831723
2021-10-01,1516983.9950405303
2021-10-04,1519041.978241956
2021-10-05,1521262.562325569
2021-10-06,1523446.440017044
2021-10-07,1525451.2471680578
2021-10-08,1527395.07032114
2021-10-11,1529673.6918728042
2021-10-12,1532330.2864899454
2021-10-13,1535354.4867078774
2021-10-14,1538593.4377549987
2021-10-15,1541961.523923137
2021-10-18,1545074.5621771691
2021-10-19,1547764.8828519317
2021-10-20,1550227.9641527561
2021-10-21,1552768.5257708004
2021-10-22,1555344.3206182146
2021-10-25,1558140.1665042427
2021-10-26,1561150.9786706145
2021-10-27,1564411.4958982333
2021-10-28,1567519.5184966438
2021-10-29,1570546.8704957871
2021-11-01,1573348.6429112859
2021-11-02,1576190.2015937043
2021-11-03,1578891.7693037118
2021-11-04,1581748.4858534136
2021-11-05,1584644.473024483
2021-11-08,1587771.5248900428
2021-11-09,1590543.0673709733
2021-11-10,1593006.733100785
2021-11-11,1595098.8668613662
2021-11-12,1595998.2323204426
