date,weights,portfolio_return,prediction,actual_return
2020-07-15,{'primary_asset': np.float32(0.02)},0.0013017430378364017,0.06716346,0.027054299658238835
2020-07-16,{'primary_asset': np.float32(0.02)},0.0009583591943771533,0.066346966,0.009175161862398312
2020-07-17,{'primary_asset': np.float32(0.02)},0.000697596858056794,0.06280464,0.02966969548674706
2020-07-20,{'primary_asset': np.float32(0.02)},0.0004374398856623868,0.06681392,0.03232364506886802
2020-07-21,{'primary_asset': np.float32(0.02)},0.00039991181850464197,0.0651015,0.02675515471183016
2020-07-22,{'primary_asset': np.float32(0.02)},0.0003156160600902363,0.06735463,0.0059803595835981474
2020-07-23,{'primary_asset': np.float32(0.02)},0.0003305553687418273,0.06623507,0.012909989108775952
2020-07-24,{'primary_asset': np.float32(0.02)},0.0002929349926804781,0.06668929,0.020264601261189525
2020-07-27,{'primary_asset': np.float32(0.02)},0.00021681336824967424,0.06375593,0.013293238535804344
2020-07-28,{'primary_asset': np.float32(0.02)},0.0001700379817162678,0.06455453,0.015061307817100694
2020-07-29,{'primary_asset': np.float32(0.02)},0.00015988598933819906,0.06336144,0.003442361432352283
2020-07-30,{'primary_asset': np.float32(0.02)},8.956249529619764e-05,0.060055275,-0.0046708847946875555
2020-07-31,{'primary_asset': np.float32(0.02)},-0.00017681156902988265,0.05734547,-0.04632891630881166
2020-08-03,{'primary_asset': np.float32(0.02)},-0.00040061110155941386,0.061313204,-0.042656645847155825
2020-08-04,{'primary_asset': np.float32(0.02)},-0.0006039987034886717,0.058809288,-0.035785593801730575
2020-08-05,{'primary_asset': np.float32(0.02)},-0.0005613261371325489,0.065528564,0.014110503259834541
2020-08-06,{'primary_asset': np.float32(0.02)},-0.0006231589028142182,0.06439724,-0.020129076560622405
2020-08-07,{'primary_asset': np.float32(0.02)},-0.0006330038940366462,0.058928076,-0.04879016416943184
2020-08-10,{'primary_asset': np.float32(0.02)},-0.0007429683788736541,0.034061622,-0.07014776767088227
2020-08-11,{'primary_asset': np.float32(0.02)},-0.0008597574647810525,0.02569059,-0.06498286593119003
2020-08-12,{'primary_asset': np.float32(0.02)},-0.0010957905999969392,0.048478626,-0.044897781863075116
2020-08-13,{'primary_asset': np.float32(0.02)},-0.001139143896170454,0.054529477,-0.030967400846256536
2020-08-14,{'primary_asset': np.float32(0.02)},-0.0009748820326507015,0.050708603,-0.007724697371609021
2020-08-17,{'primary_asset': np.float32(0.02)},-0.0008446548606332124,0.04959487,-0.03759097393880889
2020-08-18,{'primary_asset': np.float32(0.02)},-0.0007002738293075077,0.050786264,-0.028887607292971993
2020-08-19,{'primary_asset': np.float32(0.02)},-0.0007032842772219494,0.051222272,-0.04565039385850771
2020-08-20,{'primary_asset': np.float32(0.02)},-0.000747551500982824,0.046623975,-0.042034207033837576
2020-08-21,{'primary_asset': np.float32(0.02)},-0.0008611829147136728,0.04179538,-0.03613255143928626
2020-08-24,{'primary_asset': np.float32(0.014818655)},-0.0006557402351688985,0.017942728,-0.04355021378926804
2020-08-25,{'primary_asset': np.float32(0.005215829)},-0.00022349756942485128,0.010542747,-0.021881969022836036
2020-08-26,{'primary_asset': np.float32(0.006470506)},-0.00022417377497158412,0.011458173,-0.004628447450186979
2020-08-27,{'primary_asset': np.float32(0.007970871)},-0.00020531463027582177,0.012347294,0.0024026011317341838
2020-08-28,{'primary_asset': np.float32(0.018124172)},-0.00018981726110594595,0.018809834,0.040292254920644116
2020-08-31,{'primary_asset': np.float32(0.02)},0.0002297262807595348,0.044339363,0.06624713182146451
2020-09-01,{'primary_asset': np.float32(0.02)},0.0004600654271819807,0.021127988,0.03570281886989575
2020-09-02,{'primary_asset': np.float32(0.02)},0.0006939744154918248,0.04338561,0.05384880093434239
2020-09-03,{'primary_asset': np.float32(0.02)},0.000980993515979113,0.03633411,0.0741573778574005
2020-09-04,{'primary_asset': np.float32(0.02)},0.0013057995066040231,0.03597424,0.12149375439186659
2020-09-08,{'primary_asset': np.float32(0.02)},0.0015384295719448108,0.03517838,0.1244046494565832
2020-09-09,{'primary_asset': np.float32(0.02)},0.0019045930358455305,0.03339723,0.1272436868911736
2020-09-10,{'primary_asset': np.float32(0.02)},0.002167178749934058,0.04906938,0.1194952309237863
2020-09-11,{'primary_asset': np.float32(0.02)},0.0023964681981350957,0.026425267,0.13147974118891465
2020-09-14,{'primary_asset': np.float32(0.02)},0.0023802988383476893,0.017409397,0.11745141435466161
2020-09-15,{'primary_asset': np.float32(0.017334161)},0.0019704684258144744,0.012333102,0.09770712961495848
2020-09-16,{'primary_asset': np.float32(0.02)},0.0021620049614215144,0.051839843,0.09936773628144248
2020-09-17,{'primary_asset': np.float32(0.02)},0.0020151067412456144,0.046853445,0.08277067505895351
2020-09-18,{'primary_asset': np.float32(0.02)},0.0018521177210319094,0.06031035,0.09073248522471615
2020-09-21,{'primary_asset': np.float32(0.02)},0.0017442175141703768,0.06075887,0.09047636203633908
2020-09-22,{'primary_asset': np.float32(0.02)},0.0016367831356253024,0.06102729,0.07084853437835349
2020-09-23,{'primary_asset': np.float32(0.02)},0.0015876538499602526,0.07799541,0.08708541459064875
2020-09-24,{'primary_asset': np.float32(0.02)},0.001534973795484613,0.08251474,0.06960066114567086
